gtype	start	end	strand	function	CCNA	CC	geneName	rpkM
CDS	1629134	1629508	+	hypothetical protein	CCNA_01520	CC_1453		40.2666981892
CDS	1634266	1634691	+	flagellar biosynthesis repressor flbT	CCNA_01525	CC_1458	flbT	1258.1068268
CDS	1634651	1635013	+	flagellar biosynthesis regulatory protein flaF	CCNA_01526	CC_1459	flaF	460.671341308
CDS	1635261	1636082	+	flagellin fljL	CCNA_01527	CC_1460	fljL	1644.59473793
CDS	1636359	1637180	+	flagellin fljK	CCNA_01528	CC_1461	fljK	1781.33696866
CDS	1637293	1637661	+	FlaG superfamily protein	CCNA_01529	CC_1462		334.897595301
CDS	1637841	1638677	+	flagellin FljJ	CCNA_01530	NA	fljJ	274.600469637
CDS	1638743	1639297	+	acetyltransferase	CCNA_01531	CC_1464		409.057897661
CDS	1639377	1642241	+	regulatory protein flaY	CCNA_01532	CC_1465	flaY	118.131943687
CDS	1642303	1642992	+	hypothetical protein	CCNA_01533	CC_1466		280.086315405
CDS	1643010	1643408	+	hypothetical protein	CCNA_01534	CC_1467		169.526686763
CDS	1643665	1644168	+	single-strand DNA binding protein	CCNA_01535	CC_1468		2526.06053671
CDS	1644321	1645001	+	hypothetical protein	CCNA_01536	CC_1469		123.731949869
CDS	1646212	1648902	+	pyruvate phosphate dikinase	CCNA_01538	CC_1471		662.99111789
CDS	1649019	1649504	+	hypothetical protein	CCNA_03952	NA		283.873462362
CDS	1650282	1651178	+	LysR-family transcriptional regulator	CCNA_01541	CC_1474		25.1732025003
CDS	1655039	1656220	+	NAD(FAD)-utilizing dehydrogenase	CCNA_01545	CC_1477		50.6028102822
CDS	1659435	1661144	+	methionyl-tRNA synthetase	CCNA_01547	CC_1480		158.696004864
CDS	1659435	1661144	+	methionyl-tRNA synthetase	CCNA_01547	CC_1480		158.696004864
CDS	1661146	1662360	+	transporter, major facilitator superfamily	CCNA_01548	CC_1481		47.0648553733
CDS	1665480	1665698	+	hypothetical protein	CCNA_01551	CC_1484		32.3452952735
CDS	1665871	1668519	+	polar localization protein TipN	CCNA_01552	CC_1485	tipN	126.299936985
CDS	1668534	1669094	+	undecaprenyl-phosphate beta-N-acetyl-D-fucosaminephosphotransferase	CCNA_01553	CC_1486		67.2150281689
CDS	1672295	1673368	+	LacI-family transcriptional regulator	CCNA_01556	CC_1489		220.284006289
CDS	1673476	1674939	+	uronate isomerase	CCNA_01557	CC_1490		14.7824680242
CDS	1674964	1675803	+	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase	CCNA_01558	CC_1491		31.802667534
CDS	1675960	1676727	+	2-deoxy-D-gluconate 3-dehydrogenase	CCNA_01559	CC_1492		42.2331294819
CDS	1676914	1679643	+	phosphoenolpyruvate carboxylase	CCNA_01560	CC_1493		43.8641799538
CDS	1679798	1680181	+	hypothetical protein	CCNA_01561	CC_1494		26.4124651045
CDS	1680175	1680849	+	4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxyphosphogluconate aldolase	CCNA_01562	CC_1495		222.106634929
CDS	1680856	1681962	+	2-dehydro-3-deoxygluconokinase	CCNA_01563	CC_1496		277.624539241
CDS	1683567	1684652	+	proline iminopeptidase	CCNA_01567	CC_1499		48.1378068635
CDS	1684807	1686171	+	Kef-type K+ transport system	CCNA_01568	CC_1500		90.4284791258
CDS	1686283	1687005	+	Helix-turn-helix DNA-binding protein	CCNA_01569	CC_1501		7.77017195251
CDS	1687082	1688644	+	penicillin-binding protein	CCNA_01570	CC_1502		6.299165293
CDS	1690173	1690907	+	arsenic resistance protein arsH	CCNA_01574	CC_1506		64.228543122
CDS	1694679	1695041	+	beta-lactamase repressor	CCNA_01578	CC_1510		110.276794998
CDS	1695303	1696811	+	cell wall degradation protein	CCNA_01579	CC_1511		67.9451702936
CDS	1696883	1697533	+	M15 superfamily membrane peptidase	CCNA_01580	CC_1512		214.840800298
CDS	1697642	1697974	+	hypothetical protein	CCNA_01581	CC_1513		717.51380298
CDS	1698089	1698451	+	Glutathione-dependent formaldehyde-activating enzyme	CCNA_01582	CC_1514		8.33458300824
CDS	1699323	1699610	+	hypothetical protein	CCNA_03954	NA		47.7091088601
CDS	1704585	1705310	+	ABC transporter, ATP-binding protein	CCNA_01586	CC_1518		12.8147342349
CDS	1705307	1706755	+	hypothetical protein	CCNA_01587	CC_1519		4.81756471568
CDS	1706752	1708107	+	hypothetical protein	CCNA_01588	CC_1520		3.54439610257
CDS	1709381	1711732	+	NAD-dependent DNA ligase	CCNA_01590	CC_1522	ligA	44.142187005
CDS	1711708	1712337	+	DNA polymerase III epsilon-like protein	CCNA_01591	CC_1523		34.4718178417
CDS	1712453	1712881	+	SN-glycerol-3-phosphate transport ATP-binding protein	CCNA_01592	CC_1524		260.322392634
CDS	1719348	1720859	+	pyridine nucleotide-disulfide oxidoreductase	CCNA_01598	CC_1529		25.5898726785
CDS	1722154	1722390	+	hypothetical protein	CCNA_01601	CC_1532		83.506880235
CDS	1722517	1723155	+	glutathione S-transferase	CCNA_01602	CC_1533		90.664887078
CDS	1724760	1725353	+	hypothetical protein	CCNA_01604	CC_1535		8.41245031696
CDS	1726781	1727500	+	SNARE associated protein family	CCNA_01607	CC_1538		179.054798771
CDS	1728187	1730142	+	alkyl sulfatase	CCNA_01609	CC_1540		26.6803700359
CDS	1730240	1730296	+	hypothetical protein	CCNA_03955	NA		0.0
CDS	1730384	1731958	+	2-isopropylmalate synthase	CCNA_01610	CC_1541		52.2456428714
CDS	1732085	1732963	+	transporter, drug/metabolite exporter family	CCNA_01611	CC_1542		10.7461157155
CDS	1733317	1734360	+	rod shape-determining protein MreB	CCNA_01612	CC_1543	mreB	434.563976615
CDS	1734410	1735450	+	rod shape-determining protein MreC	CCNA_01613	CC_1544	mreC	376.299812195
CDS	1735447	1735962	+	hypothetical protein	CCNA_01614	CC_1545		51.8774290825
CDS	1735967	1737985	+	cell elongation specific D,D-transpeptidase	CCNA_01615	CC_1546		91.4424599506
CDS	1737982	1739139	+	rod shape-determining protein RodA	CCNA_01616	CC_1547	rodA	71.171944951
CDS	1739139	1739690	+	acetyltransferase	CCNA_01617	CC_1548		38.9917072191
CDS	1741064	1741558	+	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	CCNA_01620	CC_1551		44.4850372761
CDS	1741687	1742046	+	DNA-directed RNA polymerase omega chain	CCNA_01621	CC_1552		1741.23420396
CDS	1742148	1744376	+	Rsh ppGpp hydrolase-synthetase	CCNA_01622	CC_1553	spoT	77.504142538
CDS	1745014	1745598	+	orotate phosphoribosyltransferase	CCNA_01624	CC_1555		348.099428777
CDS	1747568	1748332	+	pyridoxal phosphate biosynthetic protein pdxJ	CCNA_01626	CC_1557		82.2915787006
CDS	1748329	1748730	+	Holo-(acyl-carrier protein) synthase	CCNA_01627	CC_1558	acpS	97.4915100464
CDS	1748742	1749035	+	hypothetical protein	CCNA_01628	NA		27.2460380674
CDS	1749159	1750004	+	signal peptidase I	CCNA_01629	CC_1559		387.212558909
CDS	1750026	1750721	+	ribonuclease III	CCNA_01630	CC_1560		148.125845012
CDS	1751636	1752586	+	GTP-binding protein era	CCNA_01633	CC_1562	era	164.327796059
CDS	1752579	1753430	+	arylamine N-acetyltransferase	CCNA_01634	CC_1563		73.2238633223
CDS	1753433	1754164	+	DNA repair protein recO	CCNA_01635	CC_1564		30.6199400635
CDS	1754218	1755804	+	alkaline phosphatase	CCNA_01636	CC_1565		68.2334004234
CDS	1755866	1758145	+	topoisomerase IV subunit A	CCNA_01637	CC_1566		245.789217474
CDS	1758142	1759530	+	beta-lactamase family protein	CCNA_01638	CC_1567		143.315448411
CDS	1759642	1760952	+	beta-lactamase family protein	CCNA_01639	CC_1568		35.1082159956
CDS	1760990	1761952	+	quinone oxidoreductase	CCNA_01640	CC_1569		19.2747319599
CDS	1761961	1762896	+	2-nitropropane dioxygenase family protein	CCNA_01641	CC_1570		23.5192697515
CDS	1762909	1763676	+	gluconate 5-dehydrogenase	CCNA_01642	CC_1571		30.7777381518
CDS	1765667	1766527	+	3-hydroxyisobutyrate dehydrogenase	CCNA_01645	CC_1574		101.962415242
CDS	1768405	1769667	+	adenosylmethionine-8-amino-7-oxononanoate	CCNA_01648	CC_1577		52.3354320051
CDS	1769664	1770605	+	transporter, drug/metabolite exporter family	CCNA_01649	CC_1578		78.6601612376
CDS	1771304	1774063	+	DNA gyrase subunit A	CCNA_01651	CC_1580		307.359113574
CDS	1774090	1774581	+	phosphopantetheine adenylyltransferase	CCNA_01652	CC_1581		565.882962833
CDS	1774739	1775572	+	cyclophilin-type peptidylprolyl cis-trans isomerase	CCNA_01653	CC_1582		419.005388708
CDS	1775569	1776417	+	cyclophilin-type peptidylprolyl cis-trans isomerase	CCNA_01654	CC_1583		90.1767112422
CDS	1776509	1776976	+	cyclophilin-type peptidylprolyl cis-trans isomerase	CCNA_01655	CC_1584		447.089378768
CDS	1778893	1779993	+	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	CCNA_01658	CC_1587		84.1978542351
CDS	1778893	1779993	+	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	CCNA_01658	CC_1587		84.1978542351
CDS	1779993	1781108	+	queuine tRNA-ribosyltransferase	CCNA_01659	CC_1588		72.6672885767
CDS	1779993	1781108	+	queuine tRNA-ribosyltransferase	CCNA_01659	CC_1588		72.6672885767
tRNA	1782039	1782113	+	tRNA-Lys	CCNA_R0041	CC_t24		167.131832937
CDS	1782651	1784363	+	potassium-transporting ATPase A chain	CCNA_01663	CC_1591		5.2260321829
CDS	1784375	1786435	+	potassium-transporting ATPase B chain	CCNA_01664	CC_1592		2.65965678143
CDS	1786463	1787056	+	potassium-transporting ATPase C chain	CCNA_01665	CC_1593		26.2213527152
CDS	1787056	1789734	+	osmosensitive K+ channel histidine kinase kdpD	CCNA_01666	CC_1594	kdpD	20.921283496
CDS	1789742	1790440	+	two-component response regulator kdpE	CCNA_01667	CC_1595	kdpE	22.3431792024
CDS	1790704	1791576	+	sulfate transport system permease protein cysT	CCNA_01668	CC_1596		39.8385894598
CDS	1791576	1792433	+	sulfate transport system permease protein cysW	CCNA_01669	CC_1597		64.8229300997
CDS	1792450	1793469	+	sulfate transport ATP-binding protein cysA	CCNA_01670	CC_1598		84.479805483
CDS	1793574	1793930	+	diguanylate receptor protein dgrA	CCNA_01671	CC_1599	dgrA	218.440936802
CDS	1797735	1799519	+	outer membrane protein	CCNA_01675	CC_1603		73.8525478683
CDS	1799591	1803712	+	hypothetical protein	CCNA_01676	CC_1604		74.1309530202
CDS	1803814	1805058	+	carboxypeptidase G2 precursor	CCNA_01677	CC_1605		362.746479345
CDS	1805059	1806063	+	arginine N-succinyltransferase, beta chain	CCNA_01678	CC_1606		618.199081818
CDS	1806060	1807517	+	succinylglutamic semialdehyde dehydrogenase	CCNA_01679	CC_1607		419.438541359
CDS	1807514	1808854	+	succinylarginine dihydrolase	CCNA_01680	CC_1608		246.752411834
CDS	1808851	1809357	+	RimI-like acetyltransferase	CCNA_01681	CC_1609		153.413227094
CDS	1810291	1811511	+	acetyltransferase family protein	CCNA_01683	CC_1611		3.03344277277
CDS	1813006	1814112	+	exopolyphosphatase GppA	CCNA_01686	CC_1614		183.900267563
CDS	1814109	1814819	+	FtsJ-family 23S rRNA methylase	CCNA_01687	CC_1615		100.21251575
CDS	1814816	1815859	+	potassium channel protein	CCNA_01688	CC_1616		57.1669511712
CDS	1815952	1817415	+	inosine-5'-monophosphate dehydrogenase	CCNA_01689	CC_1617		503.052806688
CDS	1817419	1817814	+	MAPEG family membrane protein	CCNA_01690	CC_1618		192.606873848
CDS	1817814	1819091	+	tRNA/rRNA methyltransferase	CCNA_01691	CC_1619		126.468749568
CDS	1817814	1819091	+	tRNA/rRNA methyltransferase	CCNA_01691	CC_1619		126.468749568
CDS	1819124	1820686	+	GMP synthase GuaA	CCNA_01692	CC_1620		222.815291562
CDS	1828520	1829644	+	putative poly-gamma-glutamate capsule biosynthesis protein	CCNA_01697	CC_1625		8.79202007526
CDS	1829731	1830516	+	endo-1,3-1,4-beta glucanase-related protein	CCNA_01698	CC_1626		77.7002166833
CDS	1831698	1832939	+	nucleoside permease	CCNA_01700	CC_1628		9.00741781764
CDS	1832940	1833926	+	xylose isomerase family protein	CCNA_01701	CC_1629		8.32755872106
CDS	1833926	1835056	+	NAD-dependent oxidoreductase	CCNA_01702	CC_1630		7.10662381153
CDS	1835056	1836111	+	IolE-related protein	CCNA_01703	CC_1631		32.9433466333
CDS	1836139	1836501	+	cytochrome c	CCNA_01704	CC_1632		172.565080023
CDS	1837718	1839457	+	BetA-family choline dehydrogenase	CCNA_01706	CC_1634		59.9012876087
CDS	1839457	1840005	+	gluconate 2-dehydrogenase subunit 3-family protein	CCNA_01707	CC_1635		27.7748769481
CDS	1840110	1840661	+	hypothetical protein	CCNA_01708	CC_1636		158.523482255
CDS	1844752	1845330	+	2'-5' RNA ligase family protein	CCNA_01713	CC_1641		56.4950523566
CDS	1845426	1845773	+	Spx/MgsR-related protein	CCNA_01714	CC_1642		181.874275008
CDS	1845879	1846565	+	GPH-family phosphatase	CCNA_01715	CC_1643		166.663498236
CDS	1846602	1846787	+	hypothetical protein	CCNA_01716	CC_1644		78.2520701097
CDS	1846800	1847210	+	hypothetical protein	CCNA_01717	CC_1645		278.244557447
CDS	1847210	1847725	+	RNA polymerase ECF sigma factor	CCNA_01718	CC_1646		45.08095178
CDS	1847722	1848030	+	hypothetical protein	CCNA_01719	CC_1647		81.671007951
CDS	1848134	1848526	+	hypothetical protein	CCNA_03893	NA		99.1384793842
CDS	1848549	1849133	+	RNA polymerase ECF sigma factor	CCNA_01721	CC_1649		159.634657215
CDS	1849102	1849506	+	hypothetical protein	CCNA_01722	CC_1650		71.2628013517
CDS	1849599	1850426	+	3-methyl-2-oxobutanoate hydroxymethyltransferase	CCNA_01723	CC_1651		152.57624564
CDS	1850579	1851331	+	hypothetical protein	CCNA_01724	CC_1652		795.883490832
CDS	1851328	1852758	+	beta-barrel assembly machine (BAM) protein BamB	CCNA_01725	CC_1653	bamB	618.972221774
CDS	1852884	1854650	+	EngA-subfamily GTPase protein	CCNA_01726	CC_1654		121.446074773
CDS	1864287	1864886	+	TetR-family transcriptional regulator	CCNA_01736	CC_1664		61.6144686115
CDS	1870808	1871467	+	hypothetical protein	CCNA_01742	CC_1670		358.608991184
CDS	1874210	1875154	+	malonyl-CoA-(acyl-carrier-protein) transacylase FabD	CCNA_01746	CC_1674		429.714371676
CDS	1875173	1875913	+	3-oxoacyl-(acyl-carrier protein) reductase	CCNA_01747	CC_1675		495.216087452
CDS	1875935	1876864	+	methyltransferase	CCNA_01748	CC_1676		310.5203661
CDS	1877029	1877265	+	acyl carrier protein	CCNA_01749	CC_1677		11601.2204908
CDS	1877432	1878712	+	3-oxoacyl-(acyl-carrier-protein) synthase II	CCNA_01750	CC_1678		505.120555453
CDS	1878709	1879809	+	aminodeoxychorismate lyase	CCNA_01751	CC_1679		223.508031484
CDS	1879813	1880694	+	YicC-family protein	CCNA_01752	CC_1680		207.021818167
CDS	1880687	1881328	+	guanylate kinase	CCNA_01753	CC_1681	gmk	193.167155904
CDS	1891999	1893480	+	multifunctional aminopeptidase	CCNA_01763	CC_1692		271.578418354
CDS	1893601	1894062	+	DNA polymerase III, chi subunit	CCNA_01764	CC_1693		364.643667882
CDS	1894059	1894400	+	peptidase inhibitor, I78 family	CCNA_01765	CC_1694		144.614448554
CDS	1895423	1895821	+	cytochrome C family protein	CCNA_01767	CC_1696		27.80283204
CDS	1898272	1898691	+	nucleoside diphosphate kinase	CCNA_01770	CC_1699		2340.44703114
CDS	1899035	1899412	+	hypothetical protein	CCNA_01772	NA		14.5976042643
CDS	1901998	1903167	+	ribonuclease D	CCNA_01776	CC_1704		265.137137974
CDS	1903417	1905099	+	hybrid sensor histidine kinase/receiver domain protein	CCNA_01777	CC_1705		72.9300960206
CDS	1905204	1906496	+	penicillin-binding protein	CCNA_01778	CC_1706		199.82594862
CDS	1913996	1914736	+	EcsC family protein	CCNA_01786	CC_1715		53.319268098
CDS	1917304	1917771	+	protein translocase subunit secG	CCNA_01790	CC_1719		718.623861653
CDS	1917887	1919539	+	CTP synthase	CCNA_01791	CC_1720		341.83373525
CDS	1919654	1919836	+	LSU ribosomal protein L32P	CCNA_01792	CC_1721		2281.2248388
CDS	1919960	1920958	+	aspartate protease	CCNA_01793	CC_1722		64.2620258807
CDS	1921855	1923135	+	phosphopyruvate hydratase	CCNA_01795	CC_1724		877.4772779
CDS	1923489	1923791	+	FtsB-related septum formation initiator	CCNA_01797	CC_1725	ftsB	583.467564004
CDS	1923957	1924988	+	pyruvate dehydrogenase E1 component alpha subunit	CCNA_01799	CC_1726		1112.86153221
CDS	1924985	1926337	+	pyruvate dehydrogenase E1 component beta subunit	CCNA_01800	CC_1727		878.472455959
CDS	1926343	1926795	+	hypothetical protein	CCNA_01801	CC_1728		1006.37864584
CDS	1926792	1926908	+	hypothetical protein	CCNA_01802	NA		514.997266173
CDS	1926921	1928207	+	pyruvate dehydrogenase complex, dihydrolipoamide acetyltransferase component	CCNA_01803	CC_1729		341.689023979
CDS	1928226	1928708	+	glutathione peroxidase	CCNA_01804	CC_1730		442.296331944
CDS	1928791	1930191	+	dihydrolipoamide dehydrogenase	CCNA_01805	CC_1731		552.309968309
CDS	1930211	1931668	+	ferritin-like domain protein	CCNA_01806	CC_1732		77.7871239309
CDS	1934502	1935479	+	lipoic acid synthetase	CCNA_01809	CC_1735		245.75296272
CDS	1935483	1935929	+	coenzyme Q-binding protein	CCNA_01810	CC_1736		30.6168024019
CDS	1937704	1938711	+	tRNA-dihydrouridine synthase	CCNA_01813	CC_1739		174.17377492
CDS	1937704	1938711	+	tRNA-dihydrouridine synthase	CCNA_01813	CC_1739		174.17377492
CDS	1938708	1939829	+	nitrogen regulation protein ntrB	CCNA_01814	CC_1740		104.002178555
CDS	1939826	1941247	+	nitrogen assimilation regulatory protein	CCNA_01815	CC_1741		133.789906054
CDS	1941312	1943555	+	nitrogen regulation protein ntrY	CCNA_01816	CC_1742		100.610656473
CDS	1943552	1944940	+	nitrogen assimilation regulatory protein ntrX	CCNA_01817	CC_1743		192.091671143
CDS	1944941	1945804	+	D-alanine aminotransferase	CCNA_01818	CC_1744		195.403694925
CDS	1945962	1946210	+	RNA-binding protein, Hfq family	CCNA_01819	CC_1745		642.549036499
CDS	1946223	1947563	+	GTP-binding protein hflX	CCNA_01820	CC_1746		148.097517969
CDS	1951298	1953250	+	vitamin B12 receptor	CCNA_01826	CC_1750		6028.6596281
CDS	1953316	1954770	+	cobyric acid synthase CobQ	CCNA_01827	CC_1751	cobQ	1191.2175349
CDS	1955493	1956539	+	SalR-family ligand-binding transcriptional regulator	CCNA_01829	CC_1753		59.7655180914
CDS	1956674	1959535	+	TonB-dependent receptor	CCNA_01830	CC_1754		83.1414633779
CDS	1959650	1961173	+	tryptophan halogenase superfamily protein	CCNA_01831	CC_1755		17.3243484716
CDS	1961197	1963485	+	beta-glucosidase	CCNA_01832	CC_1756		32.1715033144
CDS	1963485	1964894	+	glucosylceramidase	CCNA_01833	CC_1757		28.7662843647
CDS	1968272	1968904	+	acyl-CoA thioesterase I/lysophospholipase	CCNA_01836	CC_1760		50.603878864
CDS	1972490	1974109	+	isocitrate lyase	CCNA_01841	CC_1764		12.2672219955
CDS	1974143	1974370	+	hypothetical protein	CCNA_01842	NA		9.5104964636
CDS	1974451	1976028	+	malate synthase	CCNA_01843	CC_1765		9.21787046518
CDS	1983992	1985332	+	major facilitator superfamily transporter	CCNA_01852	CC_1774		19.3881573077
CDS	1985425	1985829	+	hypothetical protein	CCNA_01853	CC_1775		85.5826612246
CDS	1985974	1986639	+	GntR-family transcriptional regulator	CCNA_01854	CC_1776		23.0955865729
CDS	1986769	1987485	+	iron/manganese superoxide dismutase	CCNA_01855	CC_1777		59.7502203433
CDS	1987428	1989626	+	ferrichrome-iron receptor	CCNA_01856	CC_1778		46.3017592889
CDS	1989653	1990909	+	AraC-family transcriptional regulator	CCNA_01857	CC_1779		16.0555328627
CDS	1990867	1991769	+	AraC-family transcriptional regulator	CCNA_01858	CC_1780		44.7598253542
CDS	1991852	1993885	+	TonB-dependent receptor	CCNA_01859	CC_1781		56.8264741234
CDS	1993888	1995033	+	iron-regulated membrane protein	CCNA_01860	CC_1782		13.7708728592
CDS	1995291	1996484	+	hypothetical protein	CCNA_01861	CC_1783		38.1248866475
CDS	1998726	1999349	+	TetR-family transcriptional regulator	CCNA_01864	CC_1786		372.173273138
CDS	1999438	2000526	+	periplasmic multidrug efflux lipoprotein precursor	CCNA_01865	CC_1787		107.25665581
CDS	2000523	2003621	+	cation/multidrug efflux pump acrB4	CCNA_01866	CC_1788	acrB4	38.9656880722
CDS	2010241	2010474	+	magnesium and cobalt transport protein corA	CCNA_01873	NA		3.61088252067
CDS	2012838	2013983	+	acyl-CoA dehydrogenase, short-chain specific	CCNA_01875	CC_1798		5.10560859027
CDS	2015915	2016775	+	acyl-CoA thioesterase II	CCNA_01877	CC_1800		22.5535741181
CDS	2018600	2019703	+	NADH:flavin oxidoreductases, old yellow enzyme family	CCNA_01879	CC_1802		1.23169245402
CDS	2019780	2020523	+	3-ketoacyl-(acyl-carrier-protein) reductase FabG	CCNA_01880	CC_1803		0.651286476152
CDS	2020520	2021158	+	NAD-binding Rossmann superfamily protein	CCNA_01881	CC_1804		0.568729035513
CDS	2021155	2022036	+	SMP-30/gluconolaconase/LRE-like protein	CCNA_01882	CC_1805		3.14865997578
CDS	2022050	2023222	+	acyl-CoA dehydrogenase	CCNA_01883	CC_1806		1.34513144199
CDS	2023230	2024378	+	acyl-CoA dehydrogenase, short-chain specific	CCNA_01884	CC_1807		5.44283339045
CDS	2028496	2029269	+	IclR family HTH transcriptional regulator	CCNA_01888	CC_1811		6.65170490179
CDS	2031155	2032660	+	enoyl-CoA hydratase/isomerase family protein	CCNA_01890	CC_1813		2.47949432051
CDS	2033679	2035319	+	short chain dehydrogenase	CCNA_01892	CC_1816		1.61851237908
CDS	2035334	2035876	+	SnoaL-like domain protein	CCNA_01893	CC_1817		0.886793105236
CDS	2037657	2039096	+	transporter, major facilitator superfamily	CCNA_01895	CC_1819		1.09361854121
tRNA	2044469	2044558	+	tRNA-Ser	CCNA_R0043	CC_t25		895.286612533
CDS	2044927	2045415	+	nickel-responsive regulator NikR	CCNA_01902	CC_1826		19.5829456949
CDS	2045412	2046251	+	urea carboxylase-associated protein 2	CCNA_01903	CC_1827		5.74330000925
CDS	2046262	2046888	+	urea carboxylase-associated protein 1	CCNA_01904	CC_1828		5.00882927006
CDS	2046899	2050522	+	urea carboxylase	CCNA_01905	CC_1829		6.73386006498
CDS	2050519	2052303	+	allophanate hydrolase	CCNA_01906	CC_1830		2.97758325505
CDS	2056542	2056922	+	MarR-family transcriptional regulator	CCNA_01913	CC_1836		160.525449592
CDS	2057017	2057925	+	16S rRNA m(2)G 1207 methyltransferase RsmC	CCNA_01914	CC_1837		116.534925619
CDS	2057922	2058662	+	ribosomal small subunit pseudouridine synthase A	CCNA_01915	CC_1838		95.2480103499
CDS	2058655	2058888	+	SirA/YedF/YeeD family regulatory protein	CCNA_03957	NA		59.8707617943
CDS	2061343	2062668	+	cyclic di-GMP effector protein PopA	CCNA_01918	CC_1842	popA	210.054697222
CDS	2062750	2063394	+	FrnE protein	CCNA_01919	CC_1843		182.986054188
CDS	2068157	2069710	+	ATP-dependent RNA helicase	CCNA_01923	CC_1847		190.361732887
CDS	2072620	2073681	+	GGDEF diguanylate cyclase DgcB	CCNA_01926	CC_1850	dgcB	393.64849295
CDS	2073818	2074621	+	enoyl-CoA hydratase	CCNA_01927	CC_1851		19.0673836587
CDS	2076486	2077046	+	TetR-family transcriptional regulator	CCNA_01931	CC_1855		14.7321349187
CDS	2077043	2077861	+	1-acyl-sn-glycerol-3-phosphate acyltransferase	CCNA_01932	CC_1856		28.8759668242
CDS	2085576	2086226	+	alpha/beta hydrolase family protein	CCNA_01943	CC_1867		467.214309806
CDS	2088068	2088118	+	hypothetical protein	CCNA_03958	NA		0.0
CDS	2088215	2089540	+	tyrosyl-tRNA synthetase	CCNA_01946	CC_1870		297.277722816
CDS	2088215	2089540	+	tyrosyl-tRNA synthetase	CCNA_01946	CC_1870		297.277722816
CDS	2089668	2090129	+	thioredoxin peroxidase	CCNA_01947	CC_1871		157.074650256
CDS	2090363	2091514	+	peptidoglycan-specific endopeptidase, M23 family	CCNA_01948	CC_1872		70.1940112229
CDS	2091495	2091980	+	bactofilin A BacA	CCNA_01949	CC_1873	bacA	126.174291865
CDS	2097338	2097556	+	hypothetical protein	CCNA_03959	NA		148.409452277
CDS	2097480	2100176	+	ribonuclease E	CCNA_01954	CC_1877		458.955965206
CDS	2100319	2101740	+	zinc metalloprotease	CCNA_01955	CC_1878		86.5779570342
CDS	2101765	2102505	+	outer membrane protein	CCNA_01956	CC_1879		187.116054832
CDS	2103849	2104289	+	3-dehydroquinate dehydratase	CCNA_01959	CC_1882		448.126077905
CDS	2104350	2104862	+	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	CCNA_01960	CC_1883		401.849468825
CDS	2104868	2106214	+	biotin carboxylase	CCNA_01961	CC_1884		460.345019559
CDS	2106314	2106967	+	leucyl/phenylalanyl-tRNA--protein transferase	CCNA_01962	CC_1885		54.6793834914
CDS	2106314	2106967	+	leucyl/phenylalanyl-tRNA--protein transferase	CCNA_01962	CC_1885		54.6793834914
CDS	2108222	2110945	+	vitamin B12-dependent ribonucleotide reductase	CCNA_01966	CC_1889		72.1276819511
CDS	2111017	2111514	+	hypothetical protein with pentapeptide repeats	CCNA_01967	CC_1890		47.6529836268
CDS	2111609	2112478	+	pentapeptide repeats containing protein	CCNA_01968	CC_1891		47.5576122333
CDS	2115417	2117381	+	peptidyl-prolyl cis-trans isomerase	CCNA_01971	CC_1894		506.801454976
CDS	2117381	2118922	+	anthranilate synthase component I	CCNA_01972	CC_1895		129.900671536
CDS	2119270	2119866	+	anthranilate synthase component II/para-aminobenzoate synthase glutamine amidotransferase component II	CCNA_01974	CC_1897		142.029216467
CDS	2119875	2120900	+	anthranilate phosphoribosyltransferase	CCNA_01975	CC_1898		55.5162686181
CDS	2120897	2121685	+	Indole-3-glycerol phosphate synthase	CCNA_01976	CC_1899		92.2055733144
CDS	2121781	2122371	+	1-acyl-sn-glycerol-3-phosphate acyltransferase	CCNA_01977	CC_1900		109.947736447
CDS	2122422	2123273	+	methyltransferase	CCNA_01978	CC_1901		94.8035756636
CDS	2123444	2124148	+	LexA repressor	CCNA_01979	CC_1902	lexA	212.78845606
CDS	2127354	2128766	+	glutamyl-tRNA synthetase	CCNA_01982	CC_1905		178.22820855
CDS	2127354	2128766	+	glutamyl-tRNA synthetase	CCNA_01982	CC_1905		178.22820855
CDS	2128834	2130114	+	citrate synthase	CCNA_01983	CC_1906		881.193729019
CDS	2147447	2148097	+	phosphoserine phosphatase	CCNA_02001	CC_1924		13.3606768536
CDS	2152629	2153588	+	inosine-uridine nucleoside N-ribohydrolase	CCNA_02005	CC_1928		109.886580709
tRNA	2177672	2177748	+	tRNA-Asp	CCNA_R0045	CC_t26		8446.08263782
tRNA	2177813	2177889	+	tRNA-Asp	CCNA_R0046	CC_t27		8413.87060078
CDS	2177948	2178961	+	luciferase-like monooxygenase	CCNA_02034	CC_1957		26.2886583514
CDS	2185464	2186132	+	phosphoserine phosphatase	CCNA_02040	CC_1962		201.640775499
CDS	2192516	2192854	+	nitrogen regulatory protein P-II	CCNA_02046	CC_1968		677.727842544
CDS	2192898	2194307	+	glutamine synthetase	CCNA_02047	CC_1969		990.530585138
